word_idx,start_char,word,paragraph_idx,chapter_idx
0,4,START,0,23
1,10,OF,0,23
2,13,THE,0,23
3,17,PROJECT,0,23
4,25,GUTENBERG,0,23
5,35,EBOOK,0,23
6,41,11,0,23
7,50,Illustration,1,23
8,68,Alice,2,23
9,74,s,2,23
10,76,Adventures,2,23
11,87,in,2,23
12,90,Wonderland,2,23
13,102,by,3,23
14,105,Lewis,3,23
15,111,Carroll,3,23
16,120,THE,4,23
17,124,MILLENNIUM,4,23
18,135,FULCRUM,4,23
19,143,EDITION,4,23
20,151,3,4,23
21,153,0,4,23
22,156,Contents,5,23
23,167,CHAPTER,6,0
24,175,I,6,0
25,182,Down,6,0
26,187,the,6,0
27,191,Rabbit,6,0
28,198,Hole,6,0
29,204,CHAPTER,6,0
30,212,II,6,0
31,219,The,6,0
32,223,Pool,6,0
33,228,of,6,0
34,231,Tears,6,0
35,238,CHAPTER,6,0
36,246,III,6,0
37,253,A,6,0
38,255,Caucus,6,0
39,262,Race,6,0
40,267,and,6,0
41,271,a,6,0
42,273,Long,6,0
43,278,Tale,6,0
44,284,CHAPTER,6,0
45,292,IV,6,0
46,299,The,6,0
47,303,Rabbit,6,0
48,310,Sends,6,0
49,316,in,6,0
50,319,a,6,0
51,321,Little,6,0
52,328,Bill,6,0
53,334,CHAPTER,6,0
54,342,V,6,0
55,349,Advice,6,0
56,356,from,6,0
57,361,a,6,0
58,363,Caterpillar,6,0
59,376,CHAPTER,6,0
60,384,VI,6,0
61,391,Pig,6,0
62,395,and,6,0
63,399,Pepper,6,0
64,407,CHAPTER,6,0
65,415,VII,6,0
66,422,A,6,0
67,424,Mad,6,0
68,428,Tea,6,0
69,432,Party,6,0
70,439,CHAPTER,6,0
71,447,VIII,6,0
72,454,The,6,0
73,458,Queen,6,0
74,464,s,6,0
75,466,Croquet,6,0
76,474,Ground,6,0
77,482,CHAPTER,6,0
78,490,IX,6,0
79,497,The,6,0
80,501,Mock,6,0
81,506,Turtle,6,0
82,513,s,6,0
83,515,Story,6,0
84,522,CHAPTER,6,0
85,530,X,6,0
86,537,The,6,0
87,541,Lobster,6,0
88,549,Quadrille,6,0
89,560,CHAPTER,6,0
90,568,XI,6,0
91,575,Who,6,0
92,579,Stole,6,0
93,585,the,6,0
94,589,Tarts,6,0
95,597,CHAPTER,6,0
96,605,XII,6,0
97,612,Alice,6,0
98,618,s,6,0
99,620,Evidence,6,0
100,633,CHAPTER,7,12
101,641,I,7,12
102,644,Down,7,12
103,649,the,7,12
104,653,Rabbit,7,12
105,660,Hole,7,12
106,667,Alice,8,12
107,673,was,8,12
108,677,beginning,8,12
109,687,to,8,12
110,690,get,8,12
111,694,very,8,12
112,699,tired,8,12
113,705,of,8,12
114,708,sitting,8,12
115,716,by,8,12
116,719,her,8,12
117,723,sister,8,12
118,730,on,8,12
119,733,the,8,12
120,737,bank,8,12
121,743,and,8,12
