word_idx,start_char,word,paragraph_idx,chapter_idx
0,2,A,0,14
1,5,DEATH,0,14
2,12,IN,0,14
3,16,THE,0,14
4,21,GUNJ,0,14
5,26,Written,1,14
6,34,by,1,14
7,37,Konkona,2,14
8,45,Sensharma,2,14
9,56,Additional,3,14
10,67,Screenplay,3,14
11,79,Disha,4,14
12,85,Rindani,4,14
13,93,Based,5,14
14,99,on,5,14
15,102,a,5,14
16,104,short,5,14
17,110,story,5,14
18,116,by,5,14
19,119,Mukul,5,14
20,125,Sharma,5,14
21,133,Draft,6,14
22,139,7,6,14
23,141,1,6,14
24,143,Date,7,14
25,150,21,7,14
26,153,01,7,14
27,156,2016,7,14
28,161,Registration,8,14
29,174,Number,8,14
30,182,L,8,14
31,184,58669,8,14
32,190,2014,8,14
33,195,A,9,14
34,197,1203,9,14
35,202,4,9,14
36,204,Poseidon,9,14
37,213,Apartments,9,14
38,224,Off,10,14
39,228,Yari,10,14
40,233,Road,10,14
41,239,Panch,10,14
42,245,Marg,10,14
43,250,Versova,11,14
44,259,Andheri,11,14
45,267,West,11,14
46,272,Mumbai,12,14
47,279,400061,12,14
48,286,022,13,14
49,290,26303212,13,14
50,299,ON,14,14
51,302,BLACK,14,14
52,308,Super,15,14
53,315,McCluskiegunj,15,14
54,330,1979,15,14
55,336,FADE,16,14
56,341,IN,16,14
57,345,EXT,17,0
58,350,UNDISCLOSED,17,0
59,362,LOCATION,17,0
60,372,DUSK1,17,0
61,378,1,17,0
62,380,An,17,0
63,383,old,17,0
64,388,blue,17,0
65,393,Ambassador,17,0
66,404,is,17,0
67,407,parked,17,0
68,414,in,17,0
69,417,the,17,0
70,421,middle,17,0
71,428,of,17,0
72,431,a,17,0
73,433,stark,17,0
74,440,and,17,0
75,444,barren,17,0
76,451,landscape,17,0
77,462,A,17,0
78,464,shabby,17,0
79,471,building,17,0
80,480,stands,17,0
81,487,at,17,0
82,490,a,17,0
83,492,distance,17,0
84,503,The,17,0
85,507,camera,17,0
86,514,is,17,0
87,517,in,17,0
88,520,the,17,0
89,524,boot,17,0
90,529,of,17,0
91,532,the,17,0
92,536,car,17,0
93,540,and,17,0
94,544,as,17,0
95,547,the,17,0
96,551,boot,17,0
97,556,is,17,0
98,560,lifted,17,0
99,568,we,17,0
100,571,see,17,0
101,575,Nandu,17,0
102,582,35,17,0
103,586,and,17,0
104,590,Brian,17,0
105,597,34,17,0
106,601,silhouetted,17,0
107,613,against,17,0
108,622,a,17,0
109,624,bright,17,0
110,631,afternoon,17,0
111,641,sky,17,0
112,646,Nandu,17,0
113,652,has,17,0
114,656,his,17,0
115,660,hands,17,0
116,666,on,17,0
117,669,his,17,0
118,673,hips,17,0
119,678,and,17,0
120,683,Brian,17,0
121,689,is,17,0
122,692,peering,17,0
123,700,into,17,0
124,705,the,17,0
125,709,boot,17,0
126,715,They,17,0
127,720,are,17,0
128,724,both,17,0
129,729,dressed,17,0
130,737,in,17,0
131,741,unkempt,17,0
132,749,winter,17,0
133,756,clothes,17,0
134,764,and,17,0
135,768,look,17,0
136,773,dishevelled,17,0
137,786,The,17,0
138,790,camera,17,0
139,797,is,17,0
140,800,behind,17,0
141,807,them,17,0
142,812,now,17,0
143,816,as,17,0
144,819,Nandu,17,0
145,825,and,17,0
146,829,Brian,17,0
147,835,awkwardly,17,0
148,846,struggle,17,0
149,855,to,17,0
150,858,hoist,17,0
151,864,a,17,0
152,866,dead,17,0
153,871,body,17,0
154,876,wrapped,17,0
155,884,in,17,0
156,887,a,17,0
157,889,sheet,17,0
158,895,into,17,0
159,900,the,17,0
160,905,trunk,17,0
161,912,It,17,0
162,915,does,17,0
163,920,not,17,0
164,924,fit,17,0
165,929,Nandu,17,0
166,935,holds,17,0
167,941,on,17,0
168,944,to,17,0
169,947,the,17,0
170,951,feet,17,0
171,956,that,17,0
172,961,stick,17,0
173,968,out,17,0
174,972,in,17,0
175,975,an,17,0
176,978,awkward,17,0
177,986,position,17,0
178,996,BRIAN,18,0
179,1003,Holding,18,0
180,1011,onto,18,0
181,1016,the,18,0
182,1020,head,18,0
183,1026,Why,18,0
184,1030,don,18,0
185,1034,t,18,0
186,1036,you,18,0
187,1040,bend,18,0
188,1045,the,18,0
189,1049,knees,18,0
190,1056,like,18,0
191,1062,in,18,0
192,1065,a,18,0
193,1067,foetal,18,0
194,1074,position,18,0
195,1084,They,19,0
196,1089,exchange,19,0
197,1098,a,19,0
198,1100,look,19,0
199,1106,They,19,0
200,1111,put,19,0
201,1115,the,19,0
202,1119,body,19,0
203,1124,in,19,0
204,1127,a,19,0
205,1129,foetal,19,0
206,1136,position,19,0
207,1147,it,19,0
208,1150,fits,19,0
209,1156,They,19,0
210,1161,slam,19,0
211,1166,the,19,0
212,1170,boot,19,0
213,1175,shut,19,0
214,1181,On,19,0
215,1184,black,19,0
216,1190,we,19,0
217,1193,hear,19,0
218,1199,BRIAN,20,0
219,1206,O,20,0
220,1208,C,20,0
221,1213,CONT,20,0
222,1218,D,20,0
223,1221,You,20,0
224,1225,re,20,0
225,1228,okay,20,0
226,1233,to,20,0
227,1236,drive,20,0
228,1243,NANDU,21,0
229,1250,O,21,0
230,1252,C,21,0
231,1256,Ya,21,0
232,1260,You,21,0
233,1264,got,21,0
234,1268,the,21,0
235,1272,papers,21,0
236,1279,right,21,0
237,1286,BRIAN,22,0
238,1293,O,22,0
239,1295,C,22,0
240,1299,Yup,22,0
241,1304,The,23,0
242,1308,doors,23,0
243,1314,close,23,0
244,1320,and,23,0
245,1324,the,23,0
246,1328,ignition,23,0
247,1337,starts,23,0
248,1345,As,23,0
249,1348,the,23,0
250,1352,blue,23,0
251,1358,ambassador,23,0
252,1369,drives,23,0
253,1376,away,23,0
254,1381,we,23,0
255,1384,see,23,0
256,1388,revealed,23,0
257,1397,the,23,0
258,1401,dilapidated,23,0
259,1413,sign,23,0
260,1420,Ranchi,23,0
261,1427,Morgue,23,0
262,1435,against,23,0
263,1443,a,23,0
264,1445,stark,23,0
265,1451,landscape,23,0
266,1462,CUT,24,0
267,1466,TO,24,0
268,1470,EXT,25,0
269,1475,RANCHI,25,0
270,1482,HIGHWAY,25,0
271,1491,DUSK,25,0
272,1496,2,25,0
273,1498,2,25,0
274,1500,In,26,0
275,1503,a,26,0
276,1505,series,26,0
277,1512,of,26,0
278,1515,long,26,0
279,1520,shots,26,0
280,1526,we,26,0
281,1529,see,26,0
282,1533,the,26,0
283,1537,same,26,0
284,1542,ambassador,26,0
285,1553,on,26,0
286,1556,a,26,0
287,1559,lonely,26,0
288,1566,stretch,26,0
289,1574,of,26,0
290,1577,a,26,0
291,1579,highway,26,0
292,1589,CUT,27,0
293,1593,TO,27,0
294,1597,INT,28,0
295,1601,EXT,28,0
296,1606,RANCHI,28,0
297,1613,HIGHWAY,28,0
298,1622,DUSK,28,0
299,1627,3,28,0
300,1629,3,28,0
301,1631,Through,29,0
302,1639,the,29,0
303,1643,window,29,0
304,1650,of,29,0
305,1653,the,29,0
306,1657,driver,29,0
307,1664,s,29,0
308,1666,seat,29,0
309,1671,we,29,0
310,1674,see,29,0
311,1678,Nandu,29,0
312,1684,driving,29,0
313,1694,Brian,29,0
314,1700,is,29,0
315,1703,sitting,29,0
316,1711,in,29,0
317,1714,the,29,0
318,1718,passenger,29,0
319,1728,s,29,0
320,1730,seat,29,0
321,1736,He,29,0
322,1739,lights,29,0
323,1746,two,29,0
324,1751,cigarettes,29,0
325,1762,and,29,0
326,1766,gives,29,0
327,1772,Nandu,29,0
328,1778,one,29,0
329,1786,CUT,30,0
330,1790,TO,30,0
331,1794,INT,31,0
332,1798,EXT,31,0
333,1803,RANCHI,31,0
334,1810,HIGHWAY,31,0
335,1819,DUSK,31,0
336,1824,4,31,0
337,1826,4,31,0
338,1828,Through,32,0
339,1836,the,32,0
340,1840,windscreen,32,0
341,1851,we,32,0
342,1854,see,32,0
343,1858,a,32,0
344,1860,third,32,0
345,1866,passenger,32,0
346,1876,in,32,0
347,1879,the,32,0
348,1884,backseat,32,0
349,1894,Shutu,32,0
350,1901,23,32,0
351,1906,wearing,32,0
352,1914,a,32,0
353,1916,green,32,0
354,1922,woollen,32,0
355,1930,sweater,32,0
356,1940,sitting,32,0
357,1948,at,32,0
358,1951,the,32,0
359,1955,edge,32,0
360,1960,of,32,0
361,1963,his,32,0
362,1967,seat,32,0
363,1973,He,32,0
364,1976,looks,32,0
365,1982,worried,32,0
366,1990,and,32,0
367,1994,scared,32,0
368,2003,We,32,0
369,2006,move,32,0
370,2011,to,32,0
371,2014,an,32,0
372,2017,extreme,32,0
373,2025,close,32,0
374,2031,up,32,0
375,2035,CUT,33,0
376,2039,TO,33,0
377,2043,EXT,34,0
378,2048,RANCHI,34,0
379,2055,HIGHWAY,34,0
380,2064,DUSK,34,0
381,2069,5,34,0
382,2071,5,34,0
383,2073,We,35,0
384,2076,are,35,0
385,2080,on,35,0
386,2083,a,35,0
387,2085,wide,35,0
388,2090,lens,35,0
389,2095,on,35,0
390,2098,the,35,0
391,2102,side,35,0
392,2107,of,35,0
393,2110,the,35,0
394,2114,road,35,0
395,2120,Highway,35,0
396,2128,in,35,0
397,2131,the,35,0
398,2136,foreground,35,0
399,2147,and,35,0
400,2151,landscape,35,0
401,2161,at,35,0
402,2164,the,35,0
403,2168,back,35,0
404,2174,The,35,0
405,2178,ambassador,35,0
406,2189,enters,35,0
407,2197,frame,35,0
408,2203,right,35,0
409,2209,and,35,0
410,2213,exits,35,0
411,2219,left,35,0
412,2225,The,35,0
413,2229,title,35,0
414,2235,fades,35,0
415,2241,in,35,0
416,2244,as,35,0
417,2247,though,35,0
418,2255,floating,35,0
419,2264,on,35,0
420,2267,the,35,0
421,2271,landscape,35,0
422,2281,at,35,0
423,2284,the,35,0
424,2288,back,35,0
425,2294,A,35,0
426,2296,DEATH,35,0
427,2302,IN,35,0
428,2305,THE,35,0
429,2309,GUNJ,35,0
430,2315,The,35,0
431,2319,frame,35,0
432,2325,bleaches,35,0
433,2334,to,35,0
434,2337,day,35,0
435,2341,as,35,0
436,2344,the,35,0
437,2348,titles,35,0
438,2355,fade,35,0
439,2360,out,35,0
440,2364,and,35,0
441,2368,the,35,0
442,2372,same,35,0
443,2377,5,35,0
444,2379,A,35,0
445,2381,5,35,0
446,2383,A,35,0
447,2385,car,35,0
448,2390,now,35,0
449,2394,quite,35,0
450,2400,dusty,35,0
451,2407,passes,35,0
452,2414,left,35,0
453,2419,to,35,0
454,2422,right,35,0
455,2430,CUT,36,0
456,2434,TO,36,0
457,2438,INT,37,0
458,2442,EXT,37,0
459,2447,RANCHI,37,0
460,2454,HIGHWAY,37,0
461,2463,DAY,37,0
462,2467,6,37,0
463,2469,6,37,0
464,2471,Inside,38,0
465,2478,the,38,0
466,2482,car,38,0
467,2486,Bonnie,38,0
468,2494,Nandu,38,0
469,2500,s,38,0
470,2502,wife,38,0
471,2508,sleeps,38,0
472,2515,with,38,0
473,2520,her,38,0
474,2524,head,38,0
475,2530,lolled,38,0
476,2537,back,38,0
477,2544,Super,38,0
478,2551,One,38,0
479,2555,week,38,0
480,2560,earlier,38,0
481,2569,Day,38,0
482,2573,One,38,0
483,2577,Monday,38,0
484,2585,27th,38,0
485,2590,DECEMBER,38,0
486,2600,Bonnie,38,0
487,2608,Barnali,38,0
488,2616,Bakshi,38,0
489,2624,is,38,0
490,2627,about,38,0
491,2633,34,38,0
492,2637,has,38,0
493,2641,a,38,0
494,2643,quirky,38,0
495,2651,pretty,38,0
496,2659,face,38,0
497,2664,and,38,0
498,2668,is,38,0
499,2671,wearing,38,0
500,2679,over,38,0
501,2684,sized,38,0
502,2690,sunglasses,38,0
503,2701,with,38,0
504,2706,a,38,0
505,2708,scarf,38,0
506,2714,tied,38,0
507,2720,under,38,0
508,2726,her,38,0
509,2730,chin,38,0
510,2736,Nandu,38,0
511,2742,and,38,0
512,2746,Bonnie,38,0
513,2753,s,38,0
514,2755,daughter,38,0
515,2765,Tania,38,0
516,2771,Bakshi,38,0
517,2779,7,38,0
518,2783,is,38,0
519,2786,asleep,38,0
520,2793,on,38,0
521,2796,her,38,0
522,2800,mother,38,0
523,2807,s,38,0
524,2809,lap,38,0
525,2814,clutching,38,0
526,2824,an,38,0
527,2827,old,38,0
528,2831,rag,38,0
529,2835,doll,38,0
530,2842,Their,38,0
531,2848,friend,38,0
532,2856,Mimi,38,0
533,2862,Mitali,38,0
534,2869,Basu,38,0
535,2876,34,38,0
536,2880,is,38,0
537,2883,also,38,0
538,2888,in,38,0
539,2891,the,38,0
540,2895,back,38,0
541,2901,seat,38,0
542,2907,Mimi,38,0
543,2912,is,38,0
544,2915,an,38,0
545,2918,abundantly,38,0
546,2929,sexy,38,0
547,2935,well,38,0
548,2940,turned,38,0
549,2947,out,38,0
550,2951,woman,38,0
551,2958,She,38,0
552,2963,has,38,0
553,2967,a,38,0
554,2969,book,38,0
555,2974,open,38,0
556,2979,on,38,0
557,2982,her,38,0
558,2986,lap,38,0
559,2991,though,38,0
560,2998,they,38,0
561,3003,are,38,0
562,3007,all,38,0
563,3011,sleeping,38,0
564,3022,They,38,0
565,3027,are,38,0
566,3031,wearing,38,0
567,3039,winter,38,0
568,3047,travelling,38,0
569,3058,clothes,38,0
570,3069,Nandu,38,0
571,3075,sits,38,0
572,3080,in,38,0
573,3083,front,38,0
574,3090,driving,38,0
575,3099,His,38,0
576,3103,shirt,38,0
577,3109,sleeves,38,0
578,3117,rolled,38,0
579,3124,up,38,0
580,3127,and,38,0
581,3132,a,38,0
582,3134,lit,38,0
583,3138,cigarette,38,0
584,3148,in,38,0
