word_idx,start_char,word,paragraph_idx,chapter_idx
0,10,THE,0,21
1,14,FELLOWSHIP,0,21
2,25,OF,0,21
3,28,THE,0,21
4,32,RING,0,21
5,60,by,1,21
6,77,J,2,21
7,80,R,2,21
8,83,R,2,21
9,86,TOLKIEN,2,21
10,96,being,3,21
11,102,the,3,21
12,106,FIRST,3,21
13,112,part,3,21
14,117,of,3,21
15,120,The,3,21
16,124,Lord,3,21
17,129,of,3,21
18,132,the,3,21
19,136,Rings,3,21
20,145,Three,4,21
21,151,Rings,4,21
22,157,for,4,21
23,161,the,4,21
24,165,Elven,4,21
25,171,kings,4,21
26,177,under,4,21
27,183,the,4,21
28,187,sky,4,21
29,207,Seven,5,21
30,213,for,5,21
31,217,the,5,21
32,221,Dwarf,5,21
33,227,lords,5,21
34,233,in,5,21
35,236,their,5,21
36,242,halls,5,21
37,248,of,5,21
38,251,stone,5,21
39,270,Nine,6,21
40,275,for,6,21
41,279,Mortal,6,21
42,286,Men,6,21
43,290,doomed,6,21
44,297,to,6,21
45,300,die,6,21
46,319,One,7,21
47,323,for,7,21
48,327,the,7,21
49,331,Dark,7,21
50,336,Lord,7,21
51,341,on,7,21
52,344,his,7,21
53,348,dark,7,21
54,353,throne,7,21
55,371,In,8,21
56,374,the,8,21
57,378,Land,8,21
58,383,of,8,21
59,386,Mordor,8,21
60,393,where,8,21
61,399,the,8,21
62,403,Shadows,8,21
63,411,lie,8,21
64,431,One,9,21
65,435,Ring,9,21
66,440,to,9,21
67,443,rule,9,21
68,448,them,9,21
69,453,all,9,21
70,458,One,9,21
71,462,Ring,9,21
72,467,to,9,21
73,470,find,9,21
74,475,them,9,21
75,496,One,10,21
76,500,Ring,10,21
77,505,to,10,21
78,508,bring,10,21
79,514,them,10,21
80,519,all,10,21
81,523,and,10,21
82,527,in,10,21
83,530,the,10,21
84,534,darkness,10,21
85,543,bind,10,21
86,548,them,10,21
87,564,In,11,21
88,567,the,11,21
89,571,Land,11,21
90,576,of,11,21
91,579,Mordor,11,21
92,586,where,11,21
93,592,the,11,21
94,596,Shadows,11,21
95,604,lie,11,21
96,616,CONTENTS,12,21
97,627,FOREWORD,13,21
98,637,PROLOGUE,13,21
99,648,1,14,21
100,651,Concerning,14,21
101,662,Hobbits,14,21
102,671,2,14,21
103,674,Concerning,14,21
104,685,Pipe,14,21
105,690,weed,14,21
106,696,3,14,21
107,699,Of,14,21
108,702,the,14,21
109,706,Ordering,14,21
110,715,of,14,21
111,718,the,14,21
112,722,Shire,14,21
113,729,4,14,21
114,732,Of,14,21
115,735,the,14,21
116,739,Finding,14,21
117,747,of,14,21
118,750,the,14,21
119,754,Ring,14,21
120,761,Note,15,21
121,766,on,15,21
122,769,the,15,21
123,773,Shire,15,21
124,779,records,15,21
125,790,THE,16,21
126,794,FELLOWSHIP,16,21
127,805,OF,16,21
128,808,THE,16,21
129,812,RING,16,21
130,819,Book,17,21
131,824,I,17,21
132,828,Chapter,18,21
133,836,1,18,21
134,838,A,18,21
135,840,Long,18,21
136,845,expected,18,21
137,854,Party,18,21
138,861,Chapter,18,21
139,869,2,18,21
140,871,The,18,21
141,875,Shadow,18,21
142,882,of,18,21
143,885,the,18,21
144,889,Past,18,21
145,895,Chapter,18,21
146,903,3,18,21
147,905,Three,18,21
148,911,is,18,21
149,914,Company,18,21
150,923,Chapter,18,21
151,931,4,18,21
152,933,A,18,21
153,935,Short,18,21
154,941,Cut,18,21
155,945,to,18,21
156,948,Mushrooms,18,21
157,959,Chapter,18,21
158,967,5,18,21
159,969,A,18,21
160,971,Conspiracy,18,21
161,982,Unmasked,18,21
162,992,Chapter,18,21
163,1000,6,18,21
164,1002,The,18,21
165,1006,Old,18,21
166,1010,Forest,18,21
167,1018,Chapter,18,21
168,1026,7,18,21
169,1028,In,18,21
170,1031,the,18,21
171,1035,House,18,21
172,1041,of,18,21
173,1044,Tom,18,21
174,1048,Bombadil,18,21
175,1058,Chapter,18,21
176,1066,8,18,21
177,1068,Fog,18,21
178,1072,on,18,21
179,1075,the,18,21
180,1079,Barrow,18,21
181,1086,Downs,18,21
182,1093,Chapter,18,21
183,1101,9,18,21
184,1103,At,18,21
185,1106,the,18,21
186,1110,Sign,18,21
187,1115,of,18,21
188,1118,The,18,21
189,1122,Prancing,18,21
190,1131,Pony,18,21
191,1137,Chapter,18,21
192,1145,10,18,21
193,1148,Strider,18,21
194,1157,Chapter,18,21
195,1165,11,18,21
196,1168,A,18,21
197,1170,Knife,18,21
198,1176,in,18,21
199,1179,the,18,21
200,1183,Dark,18,21
201,1189,Chapter,18,21
202,1197,12,18,21
203,1200,Flight,18,21
204,1207,to,18,21
205,1210,the,18,21
206,1214,Ford,18,21
207,1221,Book,19,21
208,1226,II,19,21
209,1231,Chapter,20,21
210,1239,1,20,21
211,1241,Many,20,21
212,1246,Meetings,20,21
213,1256,Chapter,20,21
214,1264,2,20,21
215,1266,The,20,21
216,1270,Council,20,21
217,1278,of,20,21
218,1281,Elrond,20,21
219,1289,Chapter,20,21
220,1297,3,20,21
221,1299,The,20,21
222,1303,Ring,20,21
223,1308,Goes,20,21
224,1313,South,20,21
225,1320,Chapter,20,21
226,1328,4,20,21
227,1330,A,20,21
228,1332,Journey,20,21
229,1340,in,20,21
230,1343,the,20,21
231,1347,Dark,20,21
232,1353,Chapter,20,21
233,1361,5,20,21
234,1363,The,20,21
235,1367,Bridge,20,21
236,1374,of,20,21
237,1377,Khazad,20,21
238,1384,d,20,21
239,1386,m,20,21
240,1389,Chapter,20,21
241,1397,6,20,21
242,1399,Lothl,20,21
243,1405,rien,20,21
244,1411,Chapter,20,21
245,1419,7,20,21
246,1421,The,20,21
247,1425,Mirror,20,21
248,1432,of,20,21
249,1435,Galadriel,20,21
250,1446,Chapter,20,21
251,1454,8,20,21
252,1456,Farewell,20,21
253,1465,to,20,21
