word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,THE,0,21
1,4,LORD,0,21
2,9,OF,0,21
3,12,THE,0,21
4,16,RINGS,0,21
5,37,by,1,21
6,46,J,2,21
7,49,R,2,21
8,52,R,2,21
9,55,TOLKIEN,2,21
10,67,Part,3,21
11,72,1,3,21
12,75,The,3,21
13,79,Fellowship,3,21
14,90,of,3,21
15,93,the,3,21
16,97,Ring,3,21
17,103,Part,3,21
18,108,2,3,21
19,111,The,3,21
20,115,Two,3,21
21,119,Towers,3,21
22,127,Part,3,21
23,132,3,3,21
24,135,The,3,21
25,139,Return,3,21
26,146,of,3,21
27,149,the,3,21
28,153,King,3,21
29,161,Complete,4,21
30,170,with,4,21
31,175,Index,4,21
32,181,and,4,21
33,185,Full,4,21
34,190,Appendices,4,21
35,217,Three,5,21
36,223,Rings,5,21
37,229,for,5,21
38,233,the,5,21
39,237,Elven,5,21
40,243,kings,5,21
41,249,under,5,21
42,255,the,5,21
43,259,sky,5,21
44,279,Seven,5,21
45,285,for,5,21
46,289,the,5,21
47,293,Dwarf,5,21
48,299,lords,5,21
49,305,in,5,21
50,308,their,5,21
51,314,halls,5,21
52,320,of,5,21
53,323,stone,5,21
54,342,Nine,5,21
55,347,for,5,21
56,351,Mortal,5,21
57,358,Men,5,21
58,362,doomed,5,21
59,369,to,5,21
60,372,die,5,21
61,391,One,5,21
62,395,for,5,21
63,399,the,5,21
64,403,Dark,5,21
65,408,Lord,5,21
66,413,on,5,21
67,416,his,5,21
68,420,dark,5,21
69,425,throne,5,21
70,443,In,5,21
71,446,the,5,21
72,450,Land,5,21
73,455,of,5,21
74,458,Mordor,5,21
75,465,where,5,21
76,471,the,5,21
77,475,Shadows,5,21
78,483,lie,5,21
79,503,One,5,21
80,507,Ring,5,21
81,512,to,5,21
82,515,rule,5,21
83,520,them,5,21
84,525,all,5,21
85,530,One,5,21
86,534,Ring,5,21
87,539,to,5,21
88,542,find,5,21
89,547,them,5,21
90,568,One,5,21
91,572,Ring,5,21
92,577,to,5,21
93,580,bring,5,21
94,586,them,5,21
95,591,all,5,21
96,595,and,5,21
97,599,in,5,21
98,602,the,5,21
99,606,darkness,5,21
100,615,bind,5,21
101,620,them,5,21
102,636,In,5,21
103,639,the,5,21
104,643,Land,5,21
105,648,of,5,21
106,651,Mordor,5,21
107,658,where,5,21
108,664,the,5,21
109,668,Shadows,5,21
110,676,lie,5,21
111,688,CONTENTS,6,21
112,699,FOREWORD,7,21
113,709,PROLOGUE,7,21
114,720,1,8,21
115,723,Concerning,8,21
116,734,Hobbits,8,21
117,743,2,8,21
118,746,Concerning,8,21
119,757,Pipe,8,21
120,762,weed,8,21
121,768,3,8,21
122,771,Of,8,21
123,774,the,8,21
124,778,Ordering,8,21
125,787,of,8,21
126,790,the,8,21
127,794,Shire,8,21
128,801,4,8,21
129,804,Of,8,21
130,807,the,8,21
131,811,Finding,8,21
132,819,of,8,21
133,822,the,8,21
134,826,Ring,8,21
135,833,Note,9,21
136,838,on,9,21
137,841,the,9,21
138,845,Shire,9,21
139,851,records,9,21
140,862,THE,10,21
141,866,FELLOWSHIP,10,21
142,877,OF,10,21
143,880,THE,10,21
144,884,RING,10,21
145,891,Book,11,21
146,896,I,11,21
147,900,Chapter,12,21
148,908,1,12,21
149,910,A,12,21
150,912,Long,12,21
151,917,expected,12,21
152,926,Party,12,21
153,933,Chapter,12,21
154,941,2,12,21
155,943,The,12,21
156,947,Shadow,12,21
157,954,of,12,21
158,957,the,12,21
159,961,Past,12,21
160,967,Chapter,12,21
161,975,3,12,21
162,977,Three,12,21
163,983,is,12,21
164,986,Company,12,21
165,995,Chapter,12,21
166,1003,4,12,21
167,1005,A,12,21
168,1007,Short,12,21
169,1013,Cut,12,21
170,1017,to,12,21
171,1020,Mushrooms,12,21
172,1031,Chapter,12,21
173,1039,5,12,21
174,1041,A,12,21
175,1043,Conspiracy,12,21
176,1054,Unmasked,12,21
177,1064,Chapter,12,21
178,1072,6,12,21
179,1074,The,12,21
180,1078,Old,12,21
181,1082,Forest,12,21
182,1090,Chapter,12,21
183,1098,7,12,21
184,1100,In,12,21
185,1103,the,12,21
186,1107,House,12,21
187,1113,of,12,21
188,1116,Tom,12,21
189,1120,Bombadil,12,21
190,1130,Chapter,12,21
191,1138,8,12,21
192,1140,Fog,12,21
193,1144,on,12,21
194,1147,the,12,21
195,1151,Barrow,12,21
196,1158,Downs,12,21
197,1165,Chapter,12,21
198,1173,9,12,21
199,1175,At,12,21
200,1178,the,12,21
201,1182,Sign,12,21
202,1187,of,12,21
203,1190,The,12,21
204,1194,Prancing,12,21
205,1203,Pony,12,21
206,1209,Chapter,12,21
207,1217,10,12,21
208,1220,Strider,12,21
209,1229,Chapter,12,21
210,1237,11,12,21
211,1240,A,12,21
212,1242,Knife,12,21
213,1248,in,12,21
214,1251,the,12,21
215,1255,Dark,12,21
216,1261,Chapter,12,21
217,1269,12,12,21
218,1272,Flight,12,21
219,1279,to,12,21
220,1282,the,12,21
221,1286,Ford,12,21
222,1293,Book,13,21
223,1298,II,13,21
224,1303,Chapter,14,21
225,1311,1,14,21
226,1313,Many,14,21
227,1318,Meetings,14,21
228,1328,Chapter,14,21
229,1336,2,14,21
230,1338,The,14,21
231,1342,Council,14,21
232,1350,of,14,21
233,1353,Elrond,14,21
234,1361,Chapter,14,21
235,1369,3,14,21
236,1371,The,14,21
237,1375,Ring,14,21
238,1380,Goes,14,21
239,1385,South,14,21
240,1392,Chapter,14,21
241,1400,4,14,21
242,1402,A,14,21
243,1404,Journey,14,21
244,1412,in,14,21
245,1415,the,14,21
246,1419,Dark,14,21
247,1425,Chapter,14,21
248,1433,5,14,21
249,1435,The,14,21
250,1439,Bridge,14,21
251,1446,of,14,21
252,1449,Khazad,14,21
253,1456,d,14,21
254,1458,m,14,21
255,1461,Chapter,14,21
256,1469,6,14,21
257,1471,Lothl,14,21
258,1477,rien,14,21
259,1483,Chapter,14,21
260,1491,7,14,21
261,1493,The,14,21
262,1497,Mirror,14,21
263,1504,of,14,21
264,1507,Galadriel,14,21
265,1518,Chapter,14,21
266,1526,8,14,21
267,1528,Farewell,14,21
268,1537,to,14,21
269,1540,L,14,21
270,1542,rien,14,21
271,1548,Chapter,14,21
272,1556,9,14,21
273,1558,The,14,21
274,1562,Great,14,21
275,1568,River,14,21
276,1575,Chapter,14,21
277,1583,10,14,21
278,1586,The,14,21
279,1590,Breaking,14,21
280,1599,of,14,21
281,1602,the,14,21
282,1606,Fellowship,14,21
283,1620,THE,15,21
284,1624,TWO,15,21
285,1628,TOWERS,15,21
286,1637,Book,16,21
287,1642,III,16,21
288,1648,Chapter,17,21
289,1656,1,17,21
290,1658,The,17,21
291,1662,Departure,17,21
292,1672,of,17,21
293,1675,Boromir,17,21
294,1684,Chapter,17,21
295,1692,2,17,21
296,1694,The,17,21
297,1698,Riders,17,21
298,1705,of,17,21
299,1708,Rohan,17,21
300,1715,Chapter,17,21
301,1723,3,17,21
302,1725,The,17,21
303,1729,Uruk,17,21
304,1734,Hai,17,21
305,1739,Chapter,17,21
306,1747,4,17,21
307,1749,Treebeard,17,21
308,1760,Chapter,17,21
309,1768,5,17,21
310,1770,The,17,21
311,1774,White,17,21
312,1780,Rider,17,21
313,1787,Chapter,17,21
314,1795,6,17,21
315,1797,The,17,21
316,1801,King,17,21
317,1806,of,17,21
318,1809,the,17,21
319,1813,Golden,17,21
320,1820,Hall,17,21
321,1826,Chapter,17,21
322,1834,7,17,21
323,1836,Helm's,17,21
324,1843,Deep,17,21
325,1849,Chapter,17,21
326,1857,8,17,21
327,1859,The,17,21
328,1863,Road,17,21
329,1868,to,17,21
330,1871,Isengard,17,21
331,1881,Chapter,17,21
332,1889,9,17,21
333,1891,Flotsam,17,21
334,1899,and,17,21
335,1903,Jetsam,17,21
336,1911,Chapter,17,21
337,1919,10,17,21
338,1922,The,17,21
339,1926,Voice,17,21
340,1932,of,17,21
341,1935,Saruman,17,21
342,1944,Chapter,17,21
343,1952,11,17,21
344,1955,The,17,21
345,1959,Palant,17,21
346,1966,r,17,21
347,1970,Book,18,21
348,1975,IV,18,21
349,1980,Chapter,19,21
350,1988,1,19,21
351,1990,The,19,21
352,1994,Taming,19,21
353,2001,of,19,21
354,2004,Sm,19,21
355,2007,agol,19,21
356,2013,Chapter,19,21
357,2021,2,19,21
358,2023,The,19,21
359,2027,Passage,19,21
360,2035,of,19,21
361,2038,the,19,21
362,2042,Marshes,19,21
363,2051,Chapter,19,21
364,2059,3,19,21
365,2061,The,19,21
366,2065,Black,19,21
367,2071,Gate,19,21
368,2076,is,19,21
369,2079,Closed,19,21
370,2087,Chapter,19,21
371,2095,4,19,21
372,2097,Of,19,21
373,2100,Herbs,19,21
374,2106,and,19,21
375,2110,Stewed,19,21
376,2117,Rabbit,19,21
377,2125,Chapter,19,21
378,2133,5,19,21
379,2135,The,19,21
380,2139,Window,19,21
381,2146,on,19,21
382,2149,the,19,21
383,2153,West,19,21
384,2159,Chapter,19,21
385,2167,6,19,21
386,2169,The,19,21
387,2173,Forbidden,19,21
388,2183,Pool,19,21
389,2189,Chapter,19,21
390,2197,7,19,21
391,2199,Journey,19,21
392,2207,to,19,21
393,2210,the,19,21
394,2214,Cross,19,21
395,2220,roads,19,21
396,2227,Chapter,19,21
397,2235,8,19,21
398,2237,The,19,21
399,2241,Stairs,19,21
400,2248,of,19,21
401,2251,Cirith,19,21
402,2258,Ungol,19,21
403,2265,Chapter,19,21
404,2273,9,19,21
405,2275,Shelob's,19,21
406,2284,Lair,19,21
407,2290,Chapter,19,21
408,2298,10,19,21
409,2301,The,19,21
410,2305,Choices,19,21
411,2313,of,19,21
412,2316,Master,19,21
413,2323,Samwise,19,21
414,2334,THE,20,21
415,2338,RETURN,20,21
416,2345,OF,20,21
417,2348,THE,20,21
418,2352,KING,20,21
419,2359,Book,21,21
420,2364,V,21,21
421,2368,Chapter,22,21
422,2376,1,22,21
423,2378,Minas,22,21
424,2384,Tirith,22,21
425,2392,Chapter,22,21
426,2400,2,22,21
427,2402,The,22,21
428,2406,Passing,22,21
429,2414,of,22,21
430,2417,the,22,21
431,2421,Grey,22,21
432,2426,Company,22,21
433,2435,Chapter,22,21
434,2443,3,22,21
435,2445,The,22,21
436,2449,Muster,22,21
437,2456,of,22,21
438,2459,Rohan,22,21
439,2466,Chapter,22,21
440,2474,4,22,21
441,2476,The,22,21
442,2480,Siege,22,21
443,2486,of,22,21
444,2489,Gondor,22,21
445,2497,Chapter,22,21
446,2505,5,22,21
447,2507,The,22,21
448,2511,Ride,22,21
