word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,THE,0,64
1,4,LORD,0,64
2,9,OF,0,64
3,12,THE,0,64
4,16,RINGS,0,64
5,37,by,1,64
6,46,J,2,64
7,49,R,2,64
8,52,R,2,64
9,55,TOLKIEN,2,64
10,67,Part,3,64
11,72,1,3,64
12,75,The,3,64
13,79,Fellowship,3,64
14,90,of,3,64
15,93,the,3,64
16,97,Ring,3,64
17,103,Part,3,64
18,108,2,3,64
19,111,The,3,64
20,115,Two,3,64
21,119,Towers,3,64
22,127,Part,3,64
23,132,3,3,64
24,135,The,3,64
25,139,Return,3,64
26,146,of,3,64
27,149,the,3,64
28,153,King,3,64
29,161,Complete,4,64
30,170,with,4,64
31,175,Index,4,64
32,181,and,4,64
33,185,Full,4,64
34,190,Appendices,4,64
35,217,Three,5,64
36,223,Rings,5,64
37,229,for,5,64
38,233,the,5,64
39,237,Elven,5,64
40,243,kings,5,64
41,249,under,5,64
42,255,the,5,64
43,259,sky,5,64
44,279,Seven,5,64
45,285,for,5,64
46,289,the,5,64
47,293,Dwarf,5,64
48,299,lords,5,64
49,305,in,5,64
50,308,their,5,64
51,314,halls,5,64
52,320,of,5,64
53,323,stone,5,64
54,342,Nine,5,64
55,347,for,5,64
56,351,Mortal,5,64
57,358,Men,5,64
58,362,doomed,5,64
59,369,to,5,64
60,372,die,5,64
61,391,One,5,64
62,395,for,5,64
63,399,the,5,64
64,403,Dark,5,64
65,408,Lord,5,64
66,413,on,5,64
67,416,his,5,64
68,420,dark,5,64
69,425,throne,5,64
70,443,In,5,64
71,446,the,5,64
72,450,Land,5,64
73,455,of,5,64
74,458,Mordor,5,64
75,465,where,5,64
76,471,the,5,64
77,475,Shadows,5,64
78,483,lie,5,64
79,503,One,5,64
80,507,Ring,5,64
81,512,to,5,64
82,515,rule,5,64
83,520,them,5,64
84,525,all,5,64
85,530,One,5,64
86,534,Ring,5,64
87,539,to,5,64
88,542,find,5,64
89,547,them,5,64
90,568,One,5,64
91,572,Ring,5,64
92,577,to,5,64
93,580,bring,5,64
94,586,them,5,64
95,591,all,5,64
96,595,and,5,64
97,599,in,5,64
98,602,the,5,64
99,606,darkness,5,64
100,615,bind,5,64
101,620,them,5,64
102,636,In,5,64
103,639,the,5,64
104,643,Land,5,64
105,648,of,5,64
106,651,Mordor,5,64
107,658,where,5,64
108,664,the,5,64
109,668,Shadows,5,64
110,676,lie,5,64
111,688,CONTENTS,6,64
112,699,FOREWORD,7,64
113,709,PROLOGUE,7,64
114,720,1,8,64
115,723,Concerning,8,64
116,734,Hobbits,8,64
117,743,2,8,64
118,746,Concerning,8,64
119,757,Pipe,8,64
120,762,weed,8,64
121,768,3,8,64
122,771,Of,8,64
123,774,the,8,64
124,778,Ordering,8,64
125,787,of,8,64
126,790,the,8,64
127,794,Shire,8,64
128,801,4,8,64
