word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,Also,0,11
1,5,by,0,11
2,8,jhumpa,0,11
3,15,Lahiri,0,11
4,23,Interpreter,1,11
5,35,of,1,11
6,38,Maladies,1,11
7,47,THE,1,11
8,51,Namesake,1,11
9,60,HarperCollins,1,11
10,74,Publishers,1,11
11,85,India,1,11
12,91,a,1,11
13,93,foint,1,11
14,99,venture,1,11
15,107,with,1,11
16,112,New,1,11
17,116,Delhi,1,11
18,122,first,1,11
19,128,published,1,11
20,138,in,1,11
21,141,India,1,11
22,147,in,1,11
23,150,050,1,11
24,154,by,1,11
25,157,HarperCollins,1,11
26,171,Publishers,1,11
27,182,India,1,11
28,188,Printed,1,11
29,196,and,1,11
30,201,bound,1,11
31,207,at,1,11
32,210,Thomson,1,11
33,218,Press,1,11
34,225,India,1,11
35,232,Ltd,1,11
36,238,For,2,11
37,242,Alberto,2,11
38,250,and,2,11
39,254,Octavio,2,11
40,262,whom,2,11
41,267,I,2,11
42,269,call,2,11
43,274,by,2,11
44,277,other,2,11
45,283,names,2,11
46,290,CHAPTER,3,0
47,298,1,3,0
48,301,ON,4,0
49,304,A,4,0
50,306,STICKY,4,0
51,313,AUGUST,4,0
52,320,EVENING,4,0
53,328,two,4,0
54,332,weeks,4,0
55,338,before,4,0
56,345,her,4,0
57,349,due,4,0
58,353,date,4,0
59,359,Ashima,4,0
60,366,Ganguli,4,0
61,374,stands,4,0
62,381,in,4,0
63,384,the,4,0
64,388,kitchen,4,0
65,396,of,4,0
66,399,a,4,0
67,401,Central,4,0
68,409,Square,4,0
69,416,apartment,4,0
70,427,combining,4,0
71,437,Rice,4,0
72,442,Krispies,4,0
73,451,and,4,0
74,455,Planters,4,0
75,464,peanuts,4,0
76,472,and,4,0
77,476,chopped,4,0
78,484,red,4,0
79,488,onion,4,0
80,494,in,4,0
81,497,a,4,0
82,499,bowl,4,0
83,505,She,4,0
84,509,adds,4,0
85,514,salt,4,0
86,520,lemon,4,0
87,526,juice,4,0
88,533,thin,4,0
89,538,slices,4,0
90,545,of,4,0
91,548,green,4,0
92,554,chili,4,0
93,560,pepper,4,0
94,568,wishing,4,0
95,576,there,4,0
96,582,were,4,0
97,587,mustard,4,0
98,595,oil,4,0
99,599,to,4,0
100,602,pour,4,0
101,607,into,4,0
102,612,the,4,0
103,616,mix,4,0
104,621,Ashima,4,0
105,628,has,4,0
106,632,been,4,0
107,637,consuming,4,0
108,647,this,4,0
109,652,concoction,4,0
110,663,throughout,4,0
111,674,her,4,0
112,678,pregnancy,4,0
113,689,a,4,0
114,691,humble,4,0
115,698,approximation,4,0
