word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,ACCLAIM,0,107
1,8,FOR,0,107
2,12,Peter,0,107
3,18,Carey,0,107
4,24,AND,0,107
5,33,OSCAR,1,107
6,41,LUCINDA,1,107
7,52,Carey,2,107
8,58,luxuriates,2,107
9,69,in,2,107
10,72,language,2,107
11,83,Oscar,2,107
12,91,Lucinda,2,107
13,99,is,2,107
14,103,a,2,107
15,105,brilliant,2,107
16,115,success,2,107
17,127,San,3,107
18,131,Francisco,3,107
19,141,Chronicle,3,107
20,155,It,4,107
21,158,is,4,107
22,161,Thomas,4,107
23,168,Wolfe,4,107
24,174,one,4,107
25,178,is,4,107
26,181,reminded,4,107
27,190,of,4,107
28,193,most,4,107
29,198,when,4,107
30,203,reading,4,107
31,211,Peter,4,107
32,217,Carey,4,107
33,223,they,4,107
34,228,share,4,107
35,234,that,4,107
36,239,magnificent,4,107
37,251,vitality,4,107
38,261,that,4,107
39,266,ebullient,4,107
40,276,delight,4,107
41,284,in,4,107
42,287,character,4,107
43,298,detail,4,107
44,305,and,4,107
45,309,language,4,107
46,318,that,4,107
47,323,turns,4,107
48,329,a,4,107
49,331,novel,4,107
50,337,into,4,107
51,342,an,4,107
52,345,important,4,107
53,355,book,4,107
54,364,The,5,107
55,368,New,5,107
56,372,York,5,107
57,377,Times,5,107
58,383,Book,5,107
59,388,Review,5,107
60,400,Oscar,6,107
61,408,Lucinda,6,107
62,417,is,6,107
63,420,very,6,107
64,426,very,6,107
65,431,hard,6,107
66,436,to,6,107
67,439,put,6,107
68,443,down,6,107
69,449,There,6,107
70,455,are,6,107
71,459,many,6,107
72,464,pleasures,6,107
73,474,to,6,107
74,477,be,6,107
75,480,had,6,107
76,484,here,6,107
77,490,chief,6,107
78,496,among,6,107
79,502,them,6,107
80,507,the,6,107
81,511,author,6,107
82,518,s,6,107
83,520,gift,6,107
84,525,for,6,107
85,529,telling,6,107
86,537,fascinating,6,107
87,550,entertaining,6,107
88,563,stories,6,107
89,573,Like,6,107
90,578,the,6,107
91,582,characters,6,107
92,593,of,6,107
93,596,Charles,6,107
94,604,Dickens,6,107
95,612,and,6,107
96,616,Honor,6,107
97,623,de,6,107
98,626,Balzac,6,107
99,634,Mr,6,107
100,638,Carey,6,107
101,644,s,6,107
102,646,creations,6,107
103,656,are,6,107
104,660,real,6,107
105,665,in,6,107
106,668,the,6,107
107,672,simplest,6,107
108,681,human,6,107
109,687,sense,6,107
110,697,Washington,7,107
111,708,Times,7,107
112,718,A,8,107
113,720,commanding,8,107
114,731,writer,8,107
115,738,with,8,107
116,743,laser,8,107
117,749,eye,8,107
118,753,for,8,107
119,757,detail,8,107
120,764,and,8,107
121,768,luxuriant,8,107
122,778,narrative,8,107
123,788,gifts,8,107
124,798,Wall,9,107
125,803,Street,9,107
126,810,Journal,9,107
127,822,Peter,10,107
128,828,Carey,10,107
129,834,is,10,107
130,837,to,10,107
131,840,Sydney,10,107
132,847,what,10,107
133,852,Joyce,10,107
134,858,was,10,107
135,862,to,10,107
136,865,Dublin,10,107
137,872,an,10,107
138,875,absolute,10,107
139,884,master,10,107
140,891,of,10,107
141,894,language,10,107
142,903,and,10,107
143,907,storytelling,10,107
144,924,Thomas,11,107
145,931,Keneally,11,107
146,944,Carey,12,107
147,950,can,12,107
148,954,write,12,107
149,961,He,12,107
150,964,is,12,107
151,967,funny,12,107
152,974,humane,12,107
153,982,and,12,107
154,986,profound,12,107
155,999,The,13,107
156,1003,Literary,13,107
157,1012,Review,13,107
158,1020,London,13,107
159,1032,The,14,107
160,1036,well,14,107
161,1041,of,14,107
162,1044,talent,14,107
163,1051,from,14,107
164,1056,which,14,107
165,1062,Peter,14,107
166,1068,Carey,14,107
167,1074,draws,14,107
168,1080,his,14,107
169,1084,tales,14,107
170,1090,produces,14,107
171,1099,work,14,107
172,1104,as,14,107
173,1107,sweet,14,107
174,1113,and,14,107
175,1117,refreshing,14,107
176,1128,as,14,107
177,1131,a,14,107
178,1133,mineral,14,107
179,1141,spring,14,107
180,1150,Carey,14,107
181,1156,nears,14,107
182,1162,the,14,107
183,1166,summit,14,107
184,1173,occupied,14,107
185,1182,by,14,107
186,1185,Borges,14,107
187,1192,and,14,107
188,1196,Pynchon,14,107
189,1204,and,14,107
190,1208,a,14,107
191,1210,very,14,107
192,1215,few,14,107
193,1219,others,14,107
194,1230,Harlan,15,107
195,1237,Ellison,15,107
196,1250,Carey,16,107
197,1257,works,16,107
198,1263,a,16,107
199,1265,literary,16,107
200,1274,territory,16,107
201,1284,all,16,107
202,1288,his,16,107
203,1292,own,16,107
204,1297,combining,16,107
205,1307,elements,16,107
206,1316,of,16,107
207,1319,absurdism,16,107
208,1330,black,16,107
209,1336,humor,16,107
210,1343,social,16,107
211,1350,satire,16,107
212,1357,and,16,107
213,1361,old,16,107
214,1365,fashioned,16,107
215,1375,family,16,107
216,1382,saga,16,107
217,1387,a,16,107
218,1389,pleasure,16,107
219,1402,Miami,17,107
220,1408,Herald,17,107
221,1420,for,18,107
222,1424,Alison,18,107
223,1431,Summers,18,107
224,1439,with,18,107
225,1444,all,18,107
226,1448,my,18,107
227,1451,love,18,107
228,1461,Chapter,19,0
229,1469,1,19,0
230,1472,The,20,0
231,1476,Church,20,0
232,1485,If,21,0
233,1488,there,21,0
234,1494,was,21,0
235,1498,a,21,0
236,1500,bishop,21,0
237,1508,my,21,0
238,1511,mother,21,0
239,1518,would,21,0
240,1524,have,21,0
241,1529,him,21,0
242,1533,to,21,0
243,1536,tea,21,0
244,1541,She,21,0
245,1545,would,21,0
246,1551,sit,21,0
247,1555,him,21,0
248,1560,not,21,0
249,1564,where,21,0
250,1570,you,21,0
251,1574,would,21,0
252,1580,imagine,21,0
253,1589,not,21,0
254,1593,at,21,0
255,1596,the,21,0
256,1600,head,21,0
257,1605,of,21,0
258,1608,the,21,0
259,1612,big,21,0
260,1616,oval,21,0
261,1621,table,21,0
262,1628,but,21,0
263,1632,in,21,0
264,1635,the,21,0
265,1639,middle,21,0
266,1646,of,21,0
267,1649,the,21,0
268,1653,long,21,0
269,1658,side,21,0
270,1664,where,21,0
271,1671,with,21,0
272,1676,his,21,0
273,1680,back,21,0
274,1685,to,21,0
275,1688,the,21,0
276,1692,view,21,0
