word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,THE,0,15
1,4,COMPLETE,0,15
2,13,SCREENPLAY,0,15
3,27,THE,1,15
4,31,ODYSSEY,1,15
5,42,CHRISTOPHER,2,15
6,54,NOLAN,2,15
7,63,THE,3,15
8,67,ODYSSEY,3,15
9,78,THE,4,15
10,82,ODYSSEY,4,15
11,93,screenplay,5,15
12,104,by,5,15
13,108,CHRISTOPHER,6,15
14,120,NOLAN,6,15
15,129,Based,7,15
16,135,on,7,15
17,139,Homer,8,15
18,145,s,8,15
19,147,Odyssey,8,15
20,158,faber,9,15
21,167,Contents,10,15
22,179,Cast,11,15
23,184,and,11,15
24,188,Credits,11,15
25,199,THE,12,15
26,203,ODYSSEY,12,15
27,214,The,13,15
28,218,Screenplay,13,15
29,232,Cast,14,15
30,237,and,14,15
31,241,Credits,14,15
32,252,MATT,15,15
33,257,DAMON,15,15
34,264,TOM,16,15
35,268,HOLLAND,16,15
36,277,ANNE,17,15
37,282,HATHAWAY,17,15
38,292,ROBERT,18,15
39,299,PATTINSON,18,15
40,310,LUPITA,19,15
41,317,NYONG,19,15
42,323,O,19,15
43,326,SAMANTHA,20,15
44,335,MORTON,20,15
45,343,JOHN,21,15
46,348,LEGUIZAMO,21,15
47,361,with,22,15
48,367,ZENDAYA,23,15
49,378,and,24,15
50,385,CHARLIZE,25,15
51,394,THERON,25,15
52,404,JON,26,15
53,408,BERNTHAL,26,15
54,418,HIMESH,27,15
55,425,PATEL,27,15
56,434,BILL,28,15
57,439,IRWIN,28,15
58,446,ELLIOT,29,15
59,453,PAGE,29,15
60,459,BENNY,30,15
61,465,SAFDIE,30,15
62,475,A,31,15
63,477,Universal,31,15
64,487,Pictures,31,15
65,497,Presentation,32,15
66,513,A,33,15
67,515,Syncopy,33,15
68,524,Production,34,15
69,538,A,35,15
70,540,Film,35,15
71,545,by,35,15
72,549,CHRISTOPHER,36,15
73,561,NOLAN,36,15
74,570,THE,37,15
75,574,ODYSSEY,37,15
76,585,Based,38,15
77,591,on,38,15
78,594,Homer,38,15
79,600,s,38,15
80,602,Odyssey,38,15
81,613,CHRISTOPHER,39,15
82,625,NOLAN,39,15
83,633,Written,39,15
84,641,for,39,15
85,645,the,39,15
86,649,Screen,39,15
87,656,and,39,15
88,660,Directed,39,15
89,669,by,39,15
90,675,EMMA,40,15
91,680,THOMAS,40,15
92,687,Produced,40,15
93,696,by,40,15
94,700,CHRISTOPHER,41,15
95,712,NOLAN,41,15
96,718,Produced,41,15
97,727,by,41,15
98,731,THOMAS,42,15
99,738,HAYSLIP,42,15
100,746,Executive,42,15
101,756,Producer,42,15
102,766,HOYTE,43,15
103,772,VAN,43,15
104,776,HOYTEMA,43,15
105,785,ASC,43,15
106,790,FSF,43,15
107,795,NS,43,15
108,798,irector,43,15
109,806,of,43,15
110,809,Photography,43,15
111,822,RUTH,44,15
112,827,DE,44,15
113,830,JONG,44,15
114,835,Production,44,15
115,846,Designer,44,15
116,856,JENNIFER,45,15
117,865,LAME,45,15
118,871,ACE,45,15
119,875,Edited,45,15
120,882,by,45,15
121,886,LUDWIG,46,15
122,893,GORANSSON,46,15
123,903,Music,46,15
124,909,by,46,15
125,913,ANDREW,47,15
126,920,JACKSON,47,15
127,928,Visual,47,15
128,935,Effects,47,15
129,943,Supervisor,47,15
130,955,SCOTT,48,15
131,961,R,48,15
132,964,FISHER,48,15
133,971,Special,48,15
134,979,Effects,48,15
135,987,Supervisor,48,15
136,999,ELLEN,49,15
137,1005,MIROJNICK,49,15
138,1015,Costumes,49,15
139,1024,Designed,49,15
140,1033,by,49,15
141,1037,ANDY,50,15
142,1042,THOMPSON,50,15
143,1051,HELEN,50,15
144,1057,MEDRANO,50,15
145,1065,Co,50,15
146,1068,Producers,50,15
147,1081,JOHN,51,15
148,1086,PAPSIDERA,51,15
149,1097,CSA,51,15
150,1101,Casting,51,15
151,1109,by,51,15
152,1115,THE,52,15
153,1119,ODYSSEY,52,15
154,1130,THE,53,15
155,1134,SCREENPLAY,53,15
156,1148,BLACK,54,15
157,1154,SCREEN,54,15
158,1164,Silence,55,15
159,1173,Words,55,15
160,1179,appear,55,15
161,1190,A,56,15
162,1192,TIME,56,15
163,1197,OF,56,15
164,1200,APPARENT,56,15
165,1209,MAGIC,56,15
166,1221,Title,57,15
167,1227,slowly,57,15
168,1234,FADES,57,15
169,1240,as,57,15
170,1243,the,57,15
171,1247,sound,57,15
172,1253,of,57,15
173,1256,SURF,57,15
174,1261,rises,57,15
175,1275,BANG,58,15
176,1281,A,58,15
177,1283,LOUD,58,15
178,1288,wooden,58,15
179,1295,BEAT,58,15
180,1305,MALE,59,15
181,1310,VOICE,59,15
182,1318,O,60,15
183,1320,S,60,15
184,1325,A,61,15
185,1327,face,61,15
186,1334,BANG,62,15
187,1341,MALE,63,15
188,1346,VOICE,63,15
189,1354,O,64,15
190,1356,S,64,15
191,1361,A,65,15
192,1363,fleet,65,15
193,1371,BANG,66,15
194,1380,DAY,67,15
195,1385,WAVES,67,15
196,1391,CRASH,67,15
197,1398,foam,67,15
198,1403,and,67,15
199,1407,sand,67,15
200,1412,SPRAYS,67,15
201,1419,off,67,15
202,1423,a,67,15
203,1425,FOREIGN,67,15
204,1434,SHORE,68,15
205,1446,MALE,69,15
206,1451,VOICE,69,15
207,1459,O,70,15
208,1461,S,70,15
209,1466,A,71,15
210,1468,war,71,15
211,1480,some,72,15
212,1485,of,72,15
213,1488,the,72,15
214,1492,foam,72,15
215,1497,is,72,15
216,1500,RED,72,15
217,1506,BANG,73,15
218,1515,NIGHT,74,15
219,1522,a,74,15
220,1524,BARD,74,15
221,1529,stands,74,15
222,1536,atop,74,15
223,1541,a,74,15
224,1543,long,74,15
225,1548,table,74,15
226,1556,TORCHLIGHT,74,15
227,1567,hot,74,15
228,1571,on,74,15
229,1575,UPTURNED,75,15
230,1584,FACES,75,15
231,1593,he,75,15
232,1596,BEATS,75,15
233,1602,the,75,15
234,1606,rhythm,75,15
235,1613,with,75,15
236,1618,his,75,15
237,1622,STAFF,75,15
238,1634,MALE,76,15
239,1639,VOICE,76,15
240,1646,BARD,76,15
241,1655,A,77,15
242,1657,man,77,15
243,1663,BANG,78,15
244,1672,DAY,79,15
245,1677,a,79,15
246,1679,FIGURE,79,15
247,1686,on,79,15
248,1689,the,79,15
249,1693,shore,79,15
250,1700,head,79,15
251,1705,down,79,15
252,1710,in,79,15
253,1713,contemplation,79,15
254,1736,BARD,80,15
255,1743,O,81,15
256,1745,S,81,15
257,1750,A,82,15
258,1752,thought,82,15
259,1764,BANG,83,15
260,1773,NIGHT,84,15
261,1780,the,84,15
262,1784,Bard,84,15
263,1789,LEANS,84,15
264,1795,down,84,15
265,1800,to,84,15
266,1803,his,84,15
267,1807,ENRAPTURED,84,15
268,1818,AUDIENCE,84,15
269,1832,BARD,85,15
270,1838,A,86,15
271,1840,trick,86,15
272,1850,BANG,87,15
273,1859,DAY,88,15
274,1864,a,88,15
275,1866,GIANT,88,15
276,1872,WOODEN,88,15
277,1879,STATUE,88,15
278,1886,OF,88,15
279,1889,A,88,15
280,1891,REARING,88,15
281,1899,HORSE,88,15
282,1907,massive,89,15
283,1916,half,89,15
284,1921,buried,89,15
285,1929,listing,89,15
286,1937,sickly,89,15
287,1944,in,89,15
288,1947,wet,89,15
289,1951,sand,89,15
290,1956,at,89,15
291,1959,rising,89,15
292,1966,tide,89,15
293,1979,BARD,90,15
294,1986,O,91,15
295,1988,S,91,15
296,1993,A,92,15
297,1995,trick,92,15
298,2001,to,92,15
299,2004,break,92,15
300,2010,the,92,15
301,2014,walls,92,15
302,2020,of,92,15
303,2023,Troy,92,15
304,2032,BANG,93,15
305,2041,NIGHT,94,15
306,2048,the,94,15
307,2052,Bard,94,15
308,2057,raises,94,15
309,2064,his,94,15
310,2068,arms,94,15
311,2079,BARD,95,15
312,2085,And,96,15
313,2089,burn,96,15
314,2094,it,96,15
315,2097,screaming,96,15
316,2107,to,96,15
317,2110,the,96,15
318,2114,ground,96,15
319,2125,All,97,15
320,2129,eyes,97,15
321,2134,on,97,15
322,2137,his,97,15
323,2141,staff,97,15
324,2147,as,97,15
325,2150,he,97,15
326,2153,brings,97,15
327,2160,it,97,15
328,2163,down,97,15
329,2171,BANG,98,15
330,2180,DAY,99,15
331,2185,a,99,15
332,2187,wave,99,15
333,2192,CRASHES,99,15
334,2200,against,99,15
335,2208,the,99,15
336,2212,Horse,99,15
337,2219,watched,99,15
338,2227,by,99,15
339,2230,a,99,15
340,2232,lone,99,15
341,2239,RAGGED,100,15
342,2246,Greek,100,15
343,2252,soldier,100,15
344,2261,This,100,15
345,2266,is,100,15
346,2269,SINON,100,15
347,2279,At,101,15
348,2282,the,101,15
349,2286,sound,101,15
350,2292,of,101,15
351,2295,HOOVES,101,15
352,2303,Sinon,101,15
353,2309,TURNS,101,15
354,2317,TROJANS,101,15
355,2325,on,101,15
356,2328,horseback,101,15
357,2341,approach,102,15
358,2350,from,102,15
359,2355,far,102,15
360,2359,down,102,15
361,2364,the,102,15
362,2368,beach,102,15
363,2375,riding,102,15
364,2382,FASTER,102,15
365,2389,and,102,15
366,2393,FASTER,102,15
367,2401,through,103,15
368,2409,the,103,15
369,2413,DETRITUS,103,15
370,2422,of,103,15
371,2425,a,103,15
372,2427,departed,103,15
373,2436,army,103,15
374,2447,THWACK,104,15
375,2457,an,104,15
376,2460,ARROW,104,15
377,2466,hits,104,15
378,2471,his,104,15
379,2475,arm,104,15
380,2481,THWACK,104,15
381,2489,THWACK,104,15
382,2498,THWACK,105,15
383,2508,arrow,105,15
384,2514,after,105,15
385,2520,arrow,105,15
386,2526,forces,105,15
387,2533,him,105,15
388,2537,back,105,15
389,2542,until,105,15
390,2548,WHUMP,105,15
391,2556,a,105,15
392,2559,SPEAR,106,15
393,2565,PINS,106,15
394,2570,him,106,15
395,2574,to,106,15
396,2577,the,106,15
397,2581,Horse,106,15
398,2593,The,107,15
399,2597,Trojans,107,15
400,2605,ENCIRCLE,107,15
401,2615,DISMOUNT,107,15
402,2625,APPROACH,107,15
403,2635,They,107,15
404,2640,stare,107,15
405,2646,up,107,15
406,2650,at,108,15
407,2653,the,108,15
408,2657,giant,108,15
409,2663,Horse,108,15
410,2670,indifferent,108,15
411,2682,to,108,15
412,2685,Sinon,108,15
413,2691,s,108,15
414,2693,suffering,108,15
415,2707,FIRST,109,15
416,2713,TROJAN,109,15
417,2721,What,110,15
418,2726,does,110,15
419,2731,it,110,15
420,2734,mean,110,15
421,2743,He,111,15
422,2746,DRAWS,111,15
423,2752,BRONZE,111,15
424,2760,puts,111,15
425,2765,it,111,15
426,2768,to,111,15
427,2771,Sinon,111,15
428,2777,s,111,15
429,2779,chin,111,15
430,2784,and,111,15
431,2788,lifts,111,15
432,2794,his,111,15
433,2798,head,111,15
434,2803,to,111,15
435,2807,look,112,15
436,2812,into,112,15
437,2817,his,112,15
438,2821,DYING,112,15
