word_idx,start_char,word,paragraph_idx,chapter_idx
0,18,THE,0,20
1,22,TWO,0,20
2,26,TOWERS,0,20
3,56,by,1,20
4,73,J,2,20
5,76,R,2,20
6,79,R,2,20
7,82,TOLKIEN,2,20
8,92,being,3,20
9,98,the,3,20
10,102,SECOND,3,20
11,109,part,3,20
12,114,of,3,20
13,117,The,3,20
14,121,Lord,3,20
15,126,of,3,20
16,129,the,3,20
17,133,Rings,3,20
18,142,being,4,20
19,148,the,4,20
20,152,SECOND,4,20
21,159,part,4,20
22,164,of,4,20
23,179,The,5,20
24,183,Lord,5,20
25,188,of,5,20
26,191,the,5,20
27,195,Rings,5,20
28,234,Chapter,6,0
29,242,1,6,0
30,257,The,7,0
31,261,Departure,7,0
32,271,of,7,0
33,274,Boromir,7,0
34,288,Aragorn,8,0
35,296,sped,8,0
36,301,on,8,0
37,304,up,8,0
38,307,the,8,0
39,311,hill,8,0
40,317,Every,8,0
41,323,now,8,0
42,327,and,8,0
43,331,again,8,0
44,337,he,8,0
45,340,bent,8,0
46,345,to,8,0
47,348,the,8,0
48,352,ground,8,0
49,360,Hobbits,8,0
50,368,go,8,0
51,371,light,8,0
52,378,and,8,0
53,382,their,8,0
54,388,footprints,8,0
55,399,are,8,0
56,403,not,8,0
57,407,easy,8,0
58,412,even,8,0
59,417,for,8,0
60,421,a,8,0
61,423,Ranger,8,0
62,430,to,8,0
63,433,read,8,0
64,439,but,8,0
65,443,not,8,0
66,447,far,8,0
67,451,from,8,0
68,456,the,8,0
69,460,top,8,0
70,464,a,8,0
71,466,spring,8,0
72,473,crossed,8,0
73,481,the,8,0
74,485,path,8,0
75,491,and,8,0
76,495,in,8,0
77,498,the,8,0
78,502,wet,8,0
79,506,earth,8,0
80,512,he,8,0
81,515,saw,8,0
82,519,what,8,0
83,524,he,8,0
84,527,was,8,0
85,531,seeking,8,0
86,546,I,9,0
87,548,read,9,0
88,553,the,9,0
89,557,signs,9,0
90,563,aright,9,0
91,572,he,9,0
92,575,said,9,0
93,580,to,9,0
