word_idx,start_char,word,paragraph_idx,chapter_idx
0,0,The,0,47
1,4,Project,0,47
2,12,Gutenberg,0,47
3,22,eBook,0,47
4,28,of,0,47
5,31,The,0,47
6,35,Wonderful,0,47
7,45,Wizard,0,47
8,52,of,0,47
9,55,Oz,0,47
10,63,This,0,47
11,68,ebook,0,47
12,74,is,0,47
13,77,for,0,47
14,81,the,0,47
15,85,use,0,47
16,89,of,0,47
17,92,anyone,0,47
18,99,anywhere,0,47
19,108,in,0,47
20,111,the,0,47
21,115,United,0,47
22,122,States,0,47
23,129,and,0,47
24,133,most,0,47
25,138,other,0,47
26,144,parts,0,47
27,150,of,0,47
28,153,the,0,47
29,157,world,0,47
30,163,at,0,47
31,166,no,0,47
32,169,cost,0,47
33,174,and,0,47
34,178,with,0,47
35,183,almost,0,47
36,190,no,0,47
37,193,restrictions,0,47
38,206,whatsoever,0,47
39,218,You,0,47
40,222,may,0,47
41,226,copy,0,47
42,231,it,0,47
43,235,give,0,47
44,240,it,0,47
45,243,away,0,47
46,248,or,0,47
47,251,re,0,47
48,254,use,0,47
49,258,it,0,47
50,261,under,0,47
51,267,the,0,47
52,271,terms,0,47
53,277,of,0,47
54,280,the,0,47
55,284,Project,0,47
56,292,Gutenberg,0,47
57,302,License,0,47
58,310,included,0,47
59,319,with,0,47
60,324,this,0,47
61,329,ebook,0,47
62,335,or,0,47
63,338,online,0,47
64,345,at,0,47
65,348,www,0,47
66,352,gutenberg,0,47
67,362,org,0,47
68,367,If,0,47
69,370,you,0,47
70,374,are,0,47
71,378,not,0,47
72,382,located,0,47
73,390,in,0,47
74,393,the,0,47
75,397,United,0,47
76,404,States,0,47
77,412,you,0,47
78,416,will,0,47
79,421,have,0,47
80,426,to,0,47
81,429,check,0,47
82,435,the,0,47
83,439,laws,0,47
84,444,of,0,47
85,447,the,0,47
86,451,country,0,47
87,459,where,0,47
88,465,you,0,47
89,469,are,0,47
90,473,located,0,47
91,481,before,0,47
92,488,using,0,47
93,494,this,0,47
94,499,eBook,0,47
95,507,Title,1,47
96,514,The,1,47
97,518,Wonderful,1,47
98,528,Wizard,1,47
99,535,of,1,47
100,538,Oz,1,47
101,542,Author,2,47
102,550,L,2,47
103,553,Frank,2,47
104,559,Baum,2,47
105,565,Release,3,47
106,573,date,3,47
107,579,February,3,47
108,588,1,3,47
109,591,1993,3,47
110,597,eBook,3,47
111,604,55,3,47
112,624,Most,3,47
113,629,recently,3,47
114,638,updated,3,47
115,647,December,3,47
116,656,29,3,47
117,660,2024,3,47
118,666,Language,4,47
119,676,English,4,47
120,691,START,5,47
121,697,OF,5,47
122,700,THE,5,47
123,704,PROJECT,5,47
124,712,GUTENBERG,5,47
125,722,EBOOK,5,47
126,728,THE,5,47
127,732,WONDERFUL,5,47
128,742,WIZARD,5,47
129,749,OF,5,47
130,752,OZ,5,47
131,761,Illustration,6,47
132,779,The,7,47
133,783,Wonderful,7,47
134,793,Wizard,7,47
135,800,of,7,47
136,803,Oz,7,47
137,807,by,8,47
138,810,L,8,47
139,813,Frank,8,47
140,819,Baum,8,47
141,826,This,9,47
142,831,book,9,47
143,836,is,9,47
144,839,dedicated,9,47
145,849,to,9,47
146,852,my,9,47
147,855,good,9,47
148,860,friend,9,47
149,869,comrade,9,47
150,877,My,9,47
151,880,Wife,9,47
152,885,L,9,47
153,887,F,9,47
154,889,B,9,47
155,894,Contents,10,47
156,905,Introduction,11,47
157,919,Chapter,11,47
158,927,I,11,47
159,930,The,11,47
160,934,Cyclone,11,47
161,943,Chapter,11,47
162,951,II,11,47
163,955,The,11,47
164,959,Council,11,47
165,967,with,11,47
166,972,the,11,47
167,976,Munchkins,11,47
168,987,Chapter,11,47
169,995,III,11,47
170,1000,How,11,47
171,1004,Dorothy,11,47
172,1012,Saved,11,47
173,1018,the,11,47
174,1022,Scarecrow,11,47
175,1033,Chapter,11,47
176,1041,IV,11,47
177,1045,The,11,47
178,1049,Road,11,47
179,1054,Through,11,47
180,1062,the,11,47
181,1066,Forest,11,47
182,1074,Chapter,11,47
183,1082,V,11,47
184,1085,The,11,47
185,1089,Rescue,11,47
186,1096,of,11,47
187,1099,the,11,47
188,1103,Tin,11,47
189,1107,Woodman,11,47
190,1116,Chapter,11,47
191,1124,VI,11,47
192,1129,The,11,47
193,1133,Cowardly,11,47
194,1142,Lion,11,47
195,1148,Chapter,11,47
196,1156,VII,11,47
197,1161,The,11,47
198,1165,Journey,11,47
199,1173,to,11,47
200,1176,the,11,47
201,1180,Great,11,47
202,1186,Oz,11,47
203,1190,Chapter,11,47
204,1198,VIII,11,47
205,1204,The,11,47
206,1208,Deadly,11,47
207,1215,Poppy,11,47
208,1221,Field,11,47
209,1228,Chapter,11,47
210,1236,IX,11,47
211,1240,The,11,47
212,1244,Queen,11,47
213,1250,of,11,47
214,1253,the,11,47
215,1257,Field,11,47
216,1263,Mice,11,47
